Pantano;Capacidad;Embalsada;Variacion;Cuenca;fecha
ALFILORIOS;8;4;0;Cantabrico Occidental;04-11-2019
ALSA-MEDIAJO;22;20;-1;Cantabrico Occidental;04-11-2019
ARBON;41;36;-1;Cantabrico Occidental;04-11-2019
DOIRAS;97;83;-1;Cantabrico Occidental;04-11-2019
LA BARCA;34;28;1;Cantabrico Occidental;04-11-2019
LA COHILLA;12;6;-3;Cantabrico Occidental;04-11-2019
RIOSECO;4;2;-1;Cantabrico Occidental;04-11-2019
SALIME;266;115;1;Cantabrico Occidental;04-11-2019
TANES;34;24;-1;Cantabrico Occidental;04-11-2019
AÑARBE;38;28;0;Cantabrico Oriental;04-11-2019
IBIUR;8;5;0;Cantabrico Oriental;04-11-2019
ORDUNTE;22;12;-1;Cantabrico Oriental;04-11-2019
SAN ANTON;5;4;0;Cantabrico Oriental;04-11-2019
BOADELLA;61;26;0;Cataluña Interna;04-11-2019
LA BAELLS;109;78;2;Cataluña Interna;04-11-2019
LA LLOSA DEL CAVALL;80;50;1;Cataluña Interna;04-11-2019
RIUDECANYES;5;2;1;Cataluña Interna;04-11-2019
SANT PONS;24;23;0;Cataluña Interna;04-11-2019
SAU;165;95;5;Cataluña Interna;04-11-2019
SUSQUEDA;233;123;-3;Cataluña Interna;04-11-2019
AGUEDA;22;11;0;Duero;04-11-2019
AGUILAR DE CAMPOO;247;44;0;Duero;04-11-2019
ALDEADAVILA;114;112;1;Duero;04-11-2019
ALMENDRA;2649;1052;-4;Duero;04-11-2019
ARLANZON;22;12;0;Duero;04-11-2019
BARRIOS DE LUNA;308;81;1;Duero;04-11-2019
BURGOMILLODO;14;8;1;Duero;04-11-2019
CAMPORREDONDO;70;6;-2;Duero;04-11-2019
CASARES DE ARBAS;37;17;0;Duero;04-11-2019
CASTRO;27;25;0;Duero;04-11-2019
CASTRO DE LAS COGOTAS;59;8;0;Duero;04-11-2019
CERNADILLA;255;31;1;Duero;04-11-2019
CERVERA;10;5;2;Duero;04-11-2019
COMPUERTO;95;37;3;Duero;04-11-2019
CUERDA DEL POZO;249;127;1;Duero;04-11-2019
LAS VENCIAS;5;5;0;Duero;04-11-2019
LINARES DEL ARROYO;55;27;0;Duero;04-11-2019
LOS RABANOS;8;8;0;Duero;04-11-2019
Nª Sª DEL AGAVANZAL;36;26;-1;Duero;04-11-2019
PONTON ALTO;7;5;0;Duero;04-11-2019
PORMA (JUAN BENET);318;118;1;Duero;04-11-2019
PUENTE PORTO;23;5;-7;Duero;04-11-2019
REQUEJADA;66;12;0;Duero;04-11-2019
RIAÑO;641;262;6;Duero;04-11-2019
RICOBAYO;1145;472;15;Duero;04-11-2019
SAN JOSE;6;6;0;Duero;04-11-2019
SANTA TERESA;496;173;2;Duero;04-11-2019
SAUCELLE;181;178;0;Duero;04-11-2019
SERONES;6;1;0;Duero;04-11-2019
UZQUIZA;75;40;0;Duero;04-11-2019
VALPARAISO;169;145;-1;Duero;04-11-2019
VILLAGONZALO;6;6;0;Duero;04-11-2019
VILLALCAMPO;66;62;0;Duero;04-11-2019
VILLAMECA;20;3;0;Duero;04-11-2019
ALBIÑA;5;3;0;Ebro;04-11-2019
ALLOZ;66;17;-2;Ebro;04-11-2019
BARASONA;85;46;8;Ebro;04-11-2019
BASERCA;22;11;-2;Ebro;04-11-2019
BUBAL;63;18;6;Ebro;04-11-2019
CALANDA;54;31;0;Ebro;04-11-2019
CAMARASA;163;114;5;Ebro;04-11-2019
CANELLES;679;352;6;Ebro;04-11-2019
CASPE II;82;64;0;Ebro;04-11-2019
CAVALLERS;16;11;0;Ebro;04-11-2019
CERTASCAN;16;11;0;Ebro;04-11-2019
CIURANA;12;7;0;Ebro;04-11-2019
CUEVA FORADADA;22;20;0;Ebro;04-11-2019
EBRO;541;248;0;Ebro;04-11-2019
EL GRADO;400;178;13;Ebro;04-11-2019
EL VAL;24;14;0;Ebro;04-11-2019
ESCALES;152;117;0;Ebro;04-11-2019
ESTANCA ALCAÑIZ;7;6;0;Ebro;04-11-2019
EUGUI;21;12;0;Ebro;04-11-2019
GONZALEZ LACASA;33;7;0;Ebro;04-11-2019
GUIAMETS;10;2;0;Ebro;04-11-2019
IBON DE IP;5;5;1;Ebro;04-11-2019
IRABIA;14;4;0;Ebro;04-11-2019
ITOIZ;417;170;1;Ebro;04-11-2019
LA LOTETA;104;34;0;Ebro;04-11-2019
LA PEÑA;15;14;3;Ebro;04-11-2019
LA SOTONERA;189;30;0;Ebro;04-11-2019
LA TRANQUERA;82;48;1;Ebro;04-11-2019
LANUZA;17;10;0;Ebro;04-11-2019
LAS FITAS;9;4;0;Ebro;04-11-2019
LAS TORCAS;7;3;0;Ebro;04-11-2019
LAVERNE;38;18;-1;Ebro;04-11-2019
LLAUSET;17;14;3;Ebro;04-11-2019
MAIDEVERA;20;6;0;Ebro;04-11-2019
MANSILLA;68;26;0;Ebro;04-11-2019
MEDIANO;435;189;14;Ebro;04-11-2019
MEQUINENZA;1534;808;15;Ebro;04-11-2019
MONEVA;8;2;0;Ebro;04-11-2019
MONTEAGUDO;10;4;0;Ebro;04-11-2019
OLIANA;84;53;-4;Ebro;04-11-2019
PAJARES;35;8;0;Ebro;04-11-2019
PENA;18;8;0;Ebro;04-11-2019
PUENTE DE SANTOLEA;18;5;0;Ebro;04-11-2019
RIALB;404;149;18;Ebro;04-11-2019
RIBARROJA;210;196;2;Ebro;04-11-2019
SALLENTE;6;1;1;Ebro;04-11-2019
SAN BARTOLOME;6;3;0;Ebro;04-11-2019
SAN LORENZO MONGAY;10;9;0;Ebro;04-11-2019
SANTA ANA;237;118;1;Ebro;04-11-2019
SANTA MARIA BELSUE;14;1;0;Ebro;04-11-2019
SANTOLEA;43;6;0;Ebro;04-11-2019
SISTEMA AGUAS LIMPIAS;18;14;1;Ebro;04-11-2019
SISTEMA ALTO CALDARÉS;18;8;0;Ebro;04-11-2019
SISTEMA CAPDELLA;50;30;0;Ebro;04-11-2019
SISTEMA ESCARRA;5;5;1;Ebro;04-11-2019
SISTEMA LAGOS ESPOT;10;9;0;Ebro;04-11-2019
